miRNA,TargetGene,miRNA_regulation,RNA_regulation
hsa-let-7e-5p,SCD,up,down
hsa-let-7e-5p,AGMAT,up,down
hsa-miR-98-5p,MYLK3,up,down
hsa-miR-98-5p,ACADM,up,down
hsa-let-7b-5p,SLC1A4,up,down
hsa-let-7b-5p,AGL,up,down
hsa-let-7b-5p,LPL,up,down
hsa-let-7b-5p,SCD,up,down
hsa-let-7b-5p,UNC13B,up,down
hsa-let-7b-5p,COX7B,up,down
hsa-miR-484,SLC1A4,up,down
hsa-miR-484,AGL,up,down
hsa-miR-484,SCD,up,down
hsa-miR-484,ALAS1,up,down
hsa-miR-484,PKM,up,down
hsa-miR-92a-3p,SCD,up,down
hsa-miR-92a-3p,PKM,up,down
hsa-miR-92a-3p,UNC13B,up,down
hsa-miR-92a-3p,CHCHD10,up,down
hsa-miR-615-3p,SLC1A4,up,down
hsa-miR-615-3p,WDR62,up,down
hsa-miR-193b-3p,WDR62,up,down
hsa-miR-193b-3p,CHCHD10,up,down
hsa-miR-149-5p,SCD,up,down
hsa-miR-149-5p,WDR62,up,down
hsa-miR-331-3p,SCD,up,down
hsa-miR-186-5p,MDH1,up,down
hsa-miR-186-5p,WDR62,up,down
hsa-miR-324-5p,SCD,up,down
hsa-miR-324-5p,CHCHD10,up,down
hsa-miR-18a-3p,PKM,up,down
hsa-miR-324-3p,PKM,up,down
hsa-miR-92b-3p,MRPL53,up,down
hsa-miR-221-3p,PKM,up,down
hsa-miR-221-3p,UNC13B,up,down
hsa-miR-222-3p,PKM,up,down
hsa-miR-296-3p,PKM,up,down
hsa-miR-877-5p,ACTA1,up,down
hsa-miR-423-5p,PKM,up,down
hsa-miR-24-3p,ALDH5A1,up,down
hsa-miR-30a-5p,SCD,up,down
hsa-miR-30a-5p,PKM,up,down
hsa-miR-26b-5p,AGL,up,down
hsa-miR-26b-5p,CASQ1,up,down
hsa-miR-26b-5p,MB,up,down
hsa-miR-26b-5p,NMRK2,up,down
hsa-miR-26b-5p,AGMAT,up,down
hsa-miR-26b-5p,ACADM,up,down
hsa-miR-26b-5p,MDH1,up,down
hsa-miR-192-5p,SLC16A7,up,down
hsa-miR-192-5p,HSPA2,up,down
hsa-miR-192-5p,RET,up,down
hsa-miR-192-5p,ALDH5A1,up,down
hsa-miR-192-5p,SLC1A4,up,down
hsa-miR-192-5p,AGL,up,down
hsa-miR-192-5p,SCD,up,down
hsa-miR-15a-5p,DLK1,up,down
hsa-miR-15b-5p,MDH1,up,down
hsa-miR-17-5p,ACOT2,up,down
hsa-miR-17-5p,COX7B,up,down
hsa-miR-106b-5p,TNNI1,up,down
hsa-miR-128-3p,TNNI1,up,down
hsa-miR-128-3p,ACADM,up,down
hsa-miR-181a-5p,SCD,up,down
hsa-miR-181a-5p,NMRK2,up,down
hsa-miR-148b-3p,LPL,up,down
hsa-miR-10a-5p,SCD,up,down
hsa-miR-10a-5p,COX7B,up,down
hsa-miR-125b-5p,PKM,up,down
hsa-miR-326,PKM,up,down
hsa-miR-99a-5p,MYL2,up,down
hsa-miR-455-3p,AGL,up,down
hsa-miR-455-3p,SCD,up,down
hsa-miR-197-3p,SCD,up,down
hsa-miR-25-3p,CHCHD10,up,down
hsa-miR-1301-3p,PKM,up,down
hsa-miR-328-3p,SCD,up,down
hsa-miR-328-3p,PKM,up,down
hsa-miR-423-3p,ALAS1,up,down
hsa-miR-423-3p,PKM,up,down
hsa-miR-30c-5p,ALDH5A1,up,down
hsa-miR-30c-5p,PKM,up,down
hsa-miR-185-5p,SCD,up,down
hsa-miR-769-5p,PKM,up,down
hsa-miR-769-5p,WDR62,up,down
hsa-miR-34a-5p,TPM1,up,down
hsa-miR-133a-3p,TPM1,up,down
hsa-miR-133a-3p,PKM,up,down
hsa-miR-133b,PKM,up,down
hsa-miR-29a-3p,RET,up,down
hsa-miR-29a-3p,LPL,up,down
hsa-miR-1260b,PKM,up,down
hsa-miR-1260b,WDR62,up,down
hsa-miR-330-3p,PKM,up,down
hsa-miR-191-5p,AGL,up,down
hsa-miR-766-3p,PKM,up,down
hsa-miR-23a-3p,PKM,up,down
hsa-miR-532-3p,SBK1,up,down
hsa-miR-935,PKM,up,down
